"Name";"Nationality";"Style";"Painting_count"
"Vincent Van Gogh";"Dutch";"('Impressionnism', 'Expressionism', 'Naturalism')";1931
"Joseph Mallord William Turner";"English";"('Romanticism')";245
"Katsushika Hokusai";"Japanese";"('Ukiyo-e')";268
"Zdzislaw Beksinski";"Polish";"('Avant-garde', 'Magic-Realism', 'Surrealism')";708
"Claude Monet";"French";"('Impressionism')";1368
"Arnold Bocklin";"Swiss";"('Symbolism')";123
"Piet Mondrian";"Dutch";"('Neo-impressionnisme', 'De Stijl')";101
"Edward Hopper";"American";"('New-Realism')";182
"Henri Rousseau";"French";"('Primitivism')";123
"Vassily Kandinsky";"Russian";"('Abstract-Art')";226
"Gustav Klimt";"Austrian";"('Art-nouveau', 'Symbolism')";161
"Sandro Botticelli";"Italian";"('Renaissance')";136
"Artemisia Gentileschi";"Italian";"('Baroque')";21
"Pablo Picasso";"Spanish";"('Cubism')";1167
"Henri Matisse";"French";"('Impressionnism')";1008
"Pierre Auguste Renoir";"French";"('Impressionism')";1412
"Theophile Steinlen";"Swiss";"('Art-nouveau')";1130
"David Burliuk";"Ukrainian";"('Futurism')";402
"Salvador Dali";"Spanich";"('Surrealisme')";1178
"John James Audubon";"American";"('Naturalism')";186
"Ernst Ludwig Kirchner";"German";"('Expressionism')";392
"Rembrandt";"Dutch";"('Baroque')";769
"Amedeo Modigliani";"Italian";"('Expressionism')";349
"Caspar David Friedrich";"German";"('Romanticism')";50
