"Filename";"Name";"Date";"Style";"Genre";"Tags";"Artist"
"spring-1875";"Spring";1875;"Symbolism";"allegorical painting";"('allegories-and-symbols', 'spring', 'female-portraits', 'Lady')";"Arnold Bocklin"
"the-hermit-1884";"The Hermit";1884;"Symbolism";"religious painting";"('allegories-and-symbols', 'angels-and-archangels')";"Arnold Bocklin"
"the-lamentations-of-mary-magdalene-on-the-body-of-christ-1868";"The Lamentations of Mary Magdalene on the body of Christ";1868;"Symbolism";"religious painting";"('Christianity', 'Jesus-Christ', 'Hair', 'Long hair', 'Beauty')";"Arnold Bocklin"
"portrait-of-angela-bocklin-as-muse";"Portrait of Angela Böcklin as muse";;"Romanticism";"portrait";"('female-portraits', 'muses', 'Lady')";"Arnold Bocklin"
"look-any-laughs-to-the-plains";"Look any laughs to the plains";;"Symbolism";;"('walking')";"Arnold Bocklin"
"the-muse-of-anacreon-1873";"The Muse of Anacreon";1873;"Romanticism";"mythological painting";"('Greek-and-Roman-Mythology', 'muses', 'musical-instruments', 'Lady')";"Arnold Bocklin"
"portrait-of-clara-bruckmann-bocklin";"Portrait of Clara Bruckmann-Böcklin";;"Symbolism";"portrait";"('female-portraits', 'Face', 'Head', 'Chin', 'Forehead', 'Human')";"Arnold Bocklin"
"campagna-landscape-1858";"Campagna Landscape";1858;"Romanticism";"landscape";"('summer', 'forests-and-trees', 'Shrubland', 'Tree', 'Plant community', 'Vegetation', 'Natural landscape', 'Wilderness', 'Sky', 'Woody plant', 'Chaparral')";"Arnold Bocklin"
"sirens-1875";"Sirens";1875;"Symbolism";"mythological painting";"('Greek-and-Roman-Mythology', 'Sirens', 'Mythology')";"Arnold Bocklin"
"roman-landscape-1852";"Roman Landscape";1852;"Romanticism";"landscape";"('forests-and-trees', 'Nature', 'Sky', 'Picture frame', 'Stock photography')";"Arnold Bocklin"
"the-hunt-of-diana-1896";"The Hunt of Diana";1896;"Symbolism";"mythological painting";"('Greek-and-Roman-Mythology', 'hunting-and-racing', 'Artemis/Diana', 'Nature', 'Natural landscape', 'Tree', 'Sky')";"Arnold Bocklin"
"the-sacred-grove-1886";"The Sacred Grove";1886;"Symbolism";"symbolic painting";"('gardens-and-parks', 'rituals-and-traditions', 'prayers', 'ceremonies', 'Tree', 'morning', 'sunlight')";"Arnold Bocklin"
"war-1896-0";"War";1896;"Symbolism";"allegorical painting";"('allegories-and-symbols', 'battles-and-wars', 'flying', 'Horse')";"Arnold Bocklin"
"the-volcano";"The volcano";;"Symbolism";"landscape";"('caves-and-volcanoes', 'Geological phenomenon', 'Sky')";"Arnold Bocklin"
"the-death-of-cleopatra-1872";"The Death of Cleopatra";1872;"Symbolism";"history painting";"('famous-people', 'Cleopatra', 'historical-events', 'birth-and-death', 'Lady')";"Arnold Bocklin"
"war-1896";"War";1896;"Symbolism";"allegorical painting";"('allegories-and-symbols', 'battles-and-wars', 'skeletons-and-skulls', 'flying', 'Mythology')";"Arnold Bocklin"
